conf,size,kind,ctx,n,react_1,min_per,held24,far|0.5atr,far|1atr,far|gap,ce|0.5atr,ce|1atr,ext|1atr,ext|2R,ext-0.25atr|1atr,best_exit,best_exit_minEV,best_exit_EV
A,0.5,оба,—,668,50.59880239520959,49.81132075471698,50.59880239520959,0.007769665141580994,-0.047459340249635676,-0.01347861828921931,-0.02384951136798666,-0.017091730196901463,-0.03415924649824981,-0.21863424747079457,-0.05101153405029501,far|0.5atr,-0.030289509805660808,0.007769665141580994
A,0.5,оба,тренд,583,51.114922813036024,49.56521739130435,50.60034305317325,0.008678787938657949,-0.04847170308777807,-0.029013990414118444,-0.01662111021020225,-0.009915319984378279,-0.06527412022398921,-0.20864897316953138,-0.05873325605524151,far|0.5atr,-0.06454204179190184,0.008678787938657949
A,0.5,оба,EMA200,479,51.774530271398746,48.663101604278076,52.19206680584551,0.02537559062398818,-0.0381391399946811,-0.0024056735756660492,-0.018910868103845978,-0.013523255231586862,-0.0381950960203063,-0.22053085795776362,-0.03367717404392056,far|0.5atr,-0.05930773877546712,0.02537559062398818
A,0.5,оба,свежий≤24ч,483,50.931677018633536,48.06201550387597,51.345755693581786,0.029193861076041012,-0.03356535837461263,0.020738996174858672,0.011542511820626768,0.027322355203849725,0.05232930118216623,-0.21206757196048456,-0.0022433151629673727,far|0.5atr,-0.01630145658466997,0.029193861076041012
A,0.5,оба,не выходные,533,49.906191369606,49.321266968325794,50.093808630394,0.009055519467728064,-0.06101186631072768,-0.03873158416792322,-0.02865629127842693,-0.031469982067230264,-0.07933748428792338,-0.19204505379937778,-0.08026425559876843,far|0.5atr,-0.0428733801102934,0.009055519467728064
A,0.5,оба,заход<50%,589,51.782682512733444,50.26178010471204,51.782682512733444,0.01930869517590135,-0.027812599806844838,0.0034373131293713947,-0.007218491448538612,0.005218430807534155,-0.015611626414080608,-0.23932434502233685,-0.028923705152086986,ce|1atr,-0.03385119772919366,0.005218430807534155
A,0.5,оба,объём≥1.5x,479,52.19206680584551,51.67785234899329,53.86221294363257,-0.007792518951951577,-0.05321321997290735,-0.03214337477418518,-0.027041530007402965,-0.030239244828869503,-0.09553746330493207,-0.21823151188236567,-0.05663057459465025,far|0.5atr,-0.05876980312456799,-0.007792518951951577
A,0.5,оба,сессия Asia,197,48.73096446700508,42.68292682926829,47.71573604060914,-0.008531443141309016,-0.07704090221727285,-0.024591387489165787,-0.006771977362577364,-0.013186504166681729,-0.05302836035123165,-0.3105107198713329,-0.1259060705724839,ce|0.5atr,-0.09232881123606566,-0.006771977362577364
A,0.5,оба,сессия NY,241,51.867219917012456,50.0,55.18672199170125,-0.025842440909782834,-0.018844329329696867,-0.024034916919030584,-0.06389816897771942,0.036688232723526906,0.19153007984726428,-0.0060530505868970795,0.025147821828459187,far|gap,-0.07474858083930798,-0.024034916919030584
A,0.5,bull,—,342,51.75438596491229,48.484848484848484,49.41520467836257,-0.021004578815913572,-0.04678885345606629,0.0031518711569295775,-0.05447962950550181,-0.022686998868856625,-0.024977177957852977,-0.26178903779019347,-0.05136937758579644,far|gap,-0.08840757113421219,0.0031518711569295775
