conf,size_min,depth_max,trend,kind,n,react_1,react_05,held24,win_1ATR,avgR_1ATR,avgR_2R,risk_med,rr_med
0 ,0.3,0.25,False,оба,726,48.1,65.6,45.5,14.0,-0.771,-1.237,0.26,7.96
0 ,0.3,0.25,False,bull,351,49.0,65.2,44.4,14.8,-1.113,-1.616,0.3,7.18
0 ,0.3,0.25,False,bear,375,47.2,65.9,46.4,13.3,-0.453,-0.884,0.23,9.45
0 ,0.3,0.25,True,оба,602,48.7,66.4,46.0,14.0,-0.881,-1.25,0.28,7.33
0 ,0.3,0.25,True,bull,293,49.5,66.2,44.4,14.7,-1.438,-1.799,0.31,6.52
0 ,0.3,0.25,True,bear,309,47.9,66.7,47.6,13.3,-0.353,-0.729,0.26,8.4
0 ,0.3,0.5,False,оба,983,45.1,62.1,42.1,15.3,-0.852,-1.216,0.29,7.36
0 ,0.3,0.5,False,bull,493,46.7,61.9,42.0,16.2,-0.975,-1.365,0.32,6.49
0 ,0.3,0.5,False,bear,490,43.5,62.2,42.2,14.3,-0.729,-1.065,0.26,8.47
0 ,0.3,0.5,True,оба,816,45.8,63.2,42.9,15.4,-0.959,-1.245,0.31,6.91
0 ,0.3,0.5,True,bull,411,47.4,63.0,42.3,16.5,-1.193,-1.492,0.33,6.08
0 ,0.3,0.5,True,bear,405,44.2,63.5,43.5,14.3,-0.722,-0.994,0.28,7.79
0 ,0.3,1.01,False,оба,1143,42.3,59.0,39.0,15.7,-1.103,-1.434,0.3,7.02
0 ,0.3,1.01,False,bull,589,43.6,58.4,38.9,17.0,-0.913,-1.262,0.35,6.11
0 ,0.3,1.01,False,bear,554,40.8,59.6,39.2,14.4,-1.305,-1.616,0.26,8.26
0 ,0.3,1.01,True,оба,956,42.9,59.8,39.6,16.2,-0.911,-1.175,0.33,6.49
0 ,0.3,1.01,True,bull,496,44.4,59.3,38.9,17.5,-1.079,-1.344,0.37,5.66
0 ,0.3,1.01,True,bear,460,41.3,60.4,40.4,14.8,-0.73,-0.992,0.29,7.48
0 ,0.5,0.25,False,оба,545,51.2,68.8,50.6,14.5,-0.945,-1.405,0.27,7.86
0 ,0.5,0.25,False,bull,263,52.5,67.3,49.8,16.0,-1.226,-1.948,0.3,6.94
0 ,0.5,0.25,False,bear,282,50.0,70.2,51.4,13.1,-0.685,-0.902,0.24,9.3
0 ,0.5,0.25,True,оба,468,51.9,69.7,50.6,15.0,-1.073,-1.414,0.29,7.26
0 ,0.5,0.25,True,bull,226,54.4,69.5,50.0,16.8,-1.573,-2.136,0.32,6.1
0 ,0.5,0.25,True,bear,242,49.6,69.8,51.2,13.2,-0.608,-0.743,0.27,8.3
0 ,0.5,0.5,False,оба,699,49.4,66.5,48.1,16.3,-0.886,-1.268,0.3,7.26
0 ,0.5,0.5,False,bull,349,51.0,65.9,47.9,17.2,-1.099,-1.64,0.33,6.26
0 ,0.5,0.5,False,bear,350,47.7,67.1,48.3,15.4,-0.675,-0.899,0.27,8.21
0 ,0.5,0.5,True,оба,604,50.0,67.4,48.3,16.7,-0.999,-1.282,0.32,6.74
0 ,0.5,0.5,True,bull,302,52.6,67.9,48.3,17.9,-1.355,-1.775,0.36,5.84
0 ,0.5,0.5,True,bear,302,47.4,66.9,48.3,15.6,-0.643,-0.79,0.29,7.79
0 ,0.5,1.01,False,оба,785,47.1,63.7,45.4,16.9,-1.242,-1.611,0.31,6.9
0 ,0.5,1.01,False,bull,404,48.3,62.6,44.3,18.1,-1.026,-1.512,0.36,5.87
0 ,0.5,1.01,False,bear,381,45.9,64.8,46.5,15.7,-1.469,-1.715,0.28,8.13
0 ,0.5,1.01,True,оба,683,47.6,64.3,45.5,17.4,-0.961,-1.237,0.34,6.29
0 ,0.5,1.01,True,bull,352,49.7,64.2,44.6,18.8,-1.25,-1.618,0.4,5.4
0 ,0.5,1.01,True,bear,331,45.3,64.4,46.5,16.0,-0.655,-0.834,0.3,7.46
0 ,0.75,0.25,False,оба,348,54.9,71.6,58.9,14.1,-1.354,-1.81,0.29,7.18
0 ,0.75,0.25,False,bull,177,56.5,70.6,56.5,16.4,-1.742,-2.587,0.32,6.09
0 ,0.75,0.25,False,bear,171,53.2,72.5,61.4,11.7,-0.954,-1.011,0.27,8.73
0 ,0.75,0.25,True,оба,315,54.6,71.7,58.7,14.6,-1.47,-1.829,0.3,6.84
0 ,0.75,0.25,True,bull,161,57.1,72.0,56.5,16.8,-2.107,-2.78,0.32,5.84
0 ,0.75,0.25,True,bear,154,51.9,71.4,61.0,12.3,-0.808,-0.841,0.28,7.46
0 ,0.75,0.5,False,оба,420,54.3,70.0,57.9,16.4,-1.22,-1.625,0.32,6.7
0 ,0.75,0.5,False,bull,225,55.6,68.4,56.4,17.8,-1.631,-2.28,0.35,5.68
0 ,0.75,0.5,False,bear,195,52.8,71.8,59.5,14.9,-0.749,-0.872,0.28,7.89
0 ,0.75,0.5,True,оба,380,53.7,70.0,57.6,16.6,-1.351,-1.644,0.33,6.11
0 ,0.75,0.5,True,bull,204,55.9,69.6,56.4,18.1,-1.918,-2.429,0.36,5.44
