setup,n,winrate,avgR_gross,avgR_net,sumR_net,PF,maxDD_R,risk_pct_med,t_stat
L0 свип+реклейм (C>prevLow) | TP 1R,14034,48.4,0.0095,-0.2939,-4124.3,0.55,-4128.7,0.521,-31.92
L0 свип+реклейм (C>prevLow) | TP 2R,14034,34.6,0.033,-0.2703,-3793.9,0.68,-3813.6,0.521,-21.71
L0 свип+реклейм (C>prevLow) | TP 3R,14034,27.9,0.0583,-0.245,-3438.3,0.74,-3524.5,0.521,-16.37
L1 свип+C>prevClose | TP 1R,7595,50.0,0.0119,-0.1855,-1409.0,0.68,-1423.4,0.685,-16.0
L1 свип+C>prevClose | TP 2R,7595,35.4,0.0361,-0.1614,-1225.6,0.79,-1263.8,0.685,-9.95
L1 свип+C>prevClose | TP 3R,7595,28.6,0.0518,-0.1456,-1105.7,0.83,-1172.2,0.685,-7.43
L2 свип+C>prevHigh (outside bar) | TP 1R,1503,49.0,-0.0172,-0.1382,-207.7,0.75,-219.4,1.044,-5.4
L2 свип+C>prevHigh (outside bar) | TP 2R,1503,35.1,0.0003,-0.1206,-181.3,0.83,-219.8,1.044,-3.45
L2 свип+C>prevHigh (outside bar) | TP 3R,1503,30.3,0.02,-0.101,-151.8,0.87,-196.0,1.044,-2.44
L3 свип+реклейм+закр. верх.25% | TP 1R,5222,50.1,0.0052,-0.148,-772.7,0.74,-782.8,0.827,-10.68
L3 свип+реклейм+закр. верх.25% | TP 2R,5222,35.7,0.0349,-0.1183,-617.6,0.84,-653.9,0.827,-6.13
L3 свип+реклейм+закр. верх.25% | TP 3R,5222,29.9,0.0639,-0.0893,-466.1,0.89,-537.1,0.827,-3.84
L4 свип+C>prevHigh+верх.25% | TP 1R,1191,48.7,-0.0256,-0.1421,-169.2,0.75,-180.1,1.096,-4.93
L4 свип+C>prevHigh+верх.25% | TP 2R,1191,35.6,0.0093,-0.1072,-127.7,0.85,-163.0,1.096,-2.72
L4 свип+C>prevHigh+верх.25% | TP 3R,1191,30.6,0.0104,-0.1061,-126.4,0.86,-164.2,1.096,-2.31
S0 свип+реклейм (C<prevHigh) | TP 1R,14160,48.6,0.0184,-0.3024,-4281.8,0.54,-4284.8,0.485,-32.88
S0 свип+реклейм (C<prevHigh) | TP 2R,14160,33.8,0.0154,-0.3054,-4324.1,0.65,-4329.1,0.485,-24.69
S0 свип+реклейм (C<prevHigh) | TP 3R,14160,26.4,0.0214,-0.2994,-4239.2,0.69,-4243.4,0.485,-20.2
S2 свип+C<prevLow (outside bar) | TP 1R,1483,50.2,0.0136,-0.101,-149.8,0.81,-151.3,1.106,-3.94
S2 свип+C<prevLow (outside bar) | TP 2R,1483,34.4,-0.0093,-0.1239,-183.7,0.82,-187.3,1.106,-3.53
S2 свип+C<prevLow (outside bar) | TP 3R,1483,28.5,-0.0202,-0.1347,-199.8,0.82,-209.3,1.106,-3.27
S4 свип+C<prevLow+нижн.25% | TP 1R,1089,51.2,0.0352,-0.0731,-79.6,0.86,-103.9,1.14,-2.46
S4 свип+C<prevLow+нижн.25% | TP 2R,1089,35.8,0.0313,-0.077,-83.8,0.89,-114.8,1.14,-1.87
S4 свип+C<prevLow+нижн.25% | TP 3R,1089,29.2,-0.0038,-0.1121,-122.1,0.85,-154.4,1.14,-2.34
ZZ БАЗА все свечи long | TP 1R,58564,45.1,0.0065,-0.8192,-47976.4,0.28,-47977.3,0.398,-25.66
ZZ БАЗА все свечи long | TP 2R,58564,33.1,0.0305,-0.7953,-46574.0,0.4,-46574.9,0.398,-24.73
ZZ БАЗА все свечи long | TP 3R,58564,26.5,0.048,-0.7778,-45549.9,0.45,-45549.6,0.398,-24.01
ZZ БАЗА все свечи short | TP 1R,58527,44.0,-0.0008,-1.1282,-66027.5,0.21,-66023.9,0.363,-24.54
ZZ БАЗА все свечи short | TP 2R,58527,32.4,0.019,-1.1084,-64868.5,0.32,-64872.2,0.363,-24.03
ZZ БАЗА все свечи short | TP 3R,58527,25.9,0.0415,-1.0858,-63551.5,0.37,-63561.3,0.363,-23.46
