setup,n,winrate,avgR_gross,avgR_net,sumR_net,PF,maxDD_R,risk_pct_med,t_stat
long свип экстремума 1ч | TP 2R,14034,34.6,0.033,-0.2703,-3793.9,0.68,-3813.6,0.521,-21.71
long свип экстремума 3ч | TP 2R,8282,34.6,0.0261,-0.2384,-1974.5,0.71,-1986.5,0.584,-15.13
long свип экстремума 6ч | TP 2R,5524,34.5,0.0068,-0.2208,-1220.0,0.72,-1227.4,0.667,-11.56
long свип экстремума 12ч | TP 2R,3523,34.3,-0.0123,-0.1964,-691.8,0.74,-697.8,0.778,-8.47
long свип экстремума 24ч | TP 2R,2148,35.4,0.0031,-0.1482,-318.4,0.8,-339.9,0.907,-5.02
long свип экстремума 48ч | TP 2R,1320,34.8,-0.0313,-0.1596,-210.7,0.78,-233.6,1.024,-4.31
long свип экстремума 72ч | TP 2R,980,35.2,-0.0301,-0.1466,-143.6,0.79,-169.0,1.103,-3.43
short свип экстремума 1ч | TP 2R,14160,33.8,0.0154,-0.3054,-4324.1,0.65,-4329.1,0.485,-24.69
short свип экстремума 3ч | TP 2R,8858,33.9,0.0116,-0.2782,-2464.4,0.67,-2463.5,0.522,-18.03
short свип экстремума 6ч | TP 2R,6070,33.7,-0.0014,-0.2552,-1549.0,0.69,-1550.7,0.58,-13.89
short свип экстремума 12ч | TP 2R,4118,33.8,-0.0057,-0.2265,-932.8,0.72,-931.8,0.645,-10.24
short свип экстремума 24ч | TP 2R,2638,33.9,-0.0112,-0.1923,-507.3,0.75,-509.7,0.717,-7.11
short свип экстремума 48ч | TP 2R,1832,33.3,-0.0306,-0.1958,-358.6,0.75,-367.4,0.758,-6.05
short свип экстремума 72ч | TP 2R,1458,33.3,-0.0324,-0.1897,-276.6,0.75,-280.8,0.779,-5.23
