выборка,гориз,n,ср_проц,доля_плюс,t
БАЗА все свечи,+1ч,58702,0.0086,50.6,
L0 свип+реклейм (C>prevLow),+1ч,14039,-0.0003,50.2,-0.04
L1 свип+C>prevClose,+1ч,7598,0.004,48.9,0.42
L2 свип+C>prevHigh (outside bar),+1ч,1505,-0.0124,45.0,-0.53
L3 свип+реклейм+закр. верх.25%,+1ч,5224,0.0014,47.9,0.12
L4 свип+C>prevHigh+верх.25%,+1ч,1192,-0.0174,44.7,-0.68
S0 свип+реклейм (C<prevHigh),+1ч,14164,-0.0146,49.5,-2.15
S2 свип+C<prevLow (outside bar),+1ч,1483,-0.0464,42.8,-2.05
S4 свип+C<prevLow+нижн.25%,+1ч,1089,-0.0702,41.3,-2.66
БАЗА все свечи,+4ч,58699,0.0341,51.3,
L0 свип+реклейм (C>prevLow),+4ч,14039,0.0107,51.0,0.78
L1 свип+C>prevClose,+4ч,7598,0.0021,49.5,0.12
L2 свип+C>prevHigh (outside bar),+4ч,1505,-0.0522,45.6,-1.29
L3 свип+реклейм+закр. верх.25%,+4ч,5224,0.0177,49.8,0.81
L4 свип+C>prevHigh+верх.25%,+4ч,1192,-0.0423,46.2,-0.96
S0 свип+реклейм (C<prevHigh),+4ч,14164,-0.056,48.5,-4.1
S2 свип+C<prevLow (outside bar),+4ч,1483,-0.0925,45.1,-2.09
S4 свип+C<prevLow+нижн.25%,+4ч,1089,-0.1194,45.8,-2.33
БАЗА все свечи,+12ч,58691,0.1017,51.6,
L0 свип+реклейм (C>prevLow),+12ч,14038,0.0464,51.1,1.93
L1 свип+C>prevClose,+12ч,7597,0.04,50.7,1.23
L2 свип+C>prevHigh (outside bar),+12ч,1504,-0.0442,48.3,-0.59
L3 свип+реклейм+закр. верх.25%,+12ч,5223,0.0481,51.2,1.23
L4 свип+C>prevHigh+верх.25%,+12ч,1191,-0.1048,48.5,-1.22
S0 свип+реклейм (C<prevHigh),+12ч,14163,-0.1186,48.4,-5.05
S2 свип+C<prevLow (outside bar),+12ч,1483,-0.1752,45.5,-2.44
S4 свип+C<prevLow+нижн.25%,+12ч,1089,-0.1994,46.1,-2.36
БАЗА все свечи,+24ч,58679,0.2052,52.1,
L0 свип+реклейм (C>prevLow),+24ч,14034,0.1774,52.3,5.18
L1 свип+C>prevClose,+24ч,7595,0.1952,52.4,4.25
L2 свип+C>prevHigh (outside bar),+24ч,1503,0.0428,49.4,0.4
L3 свип+реклейм+закр. верх.25%,+24ч,5222,0.1688,52.5,2.97
L4 свип+C>prevHigh+верх.25%,+24ч,1191,-0.0431,49.7,-0.35
S0 свип+реклейм (C<prevHigh),+24ч,14160,-0.2155,47.4,-6.25
S2 свип+C<prevLow (outside bar),+24ч,1483,-0.2714,45.0,-2.53
S4 свип+C<prevLow+нижн.25%,+24ч,1089,-0.2694,45.0,-2.11
